Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,is_returned,return_probability,predicted_return
ORD00000031,PROD00000031,USER00000031,2023-12-09,,Electronics,481.73,5,,Not Returned,,28,Female,City79,Credit Card,Next-Day,20.03,0,0.5198742181261292,1
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,Home,335.28,4,Wrong item,Returned,-169.0,18,Male,City20,Debit Card,Next-Day,25.37,1,0.5091186264791542,1
ORD00000035,PROD00000035,USER00000035,2024-07-23,,Clothing,331.26,2,,Not Returned,,46,Female,City95,PayPal,Standard,41.02,0,0.5261440859066997,1
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,Electronics,115.82,5,Defective,Returned,-131.0,54,Female,City43,Credit Card,Express,23.76,1,0.5199237140929663,1
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,City62,Gift Card,Standard,23.63,1,0.5089132733853285,1
ORD00000041,PROD00000041,USER00000041,2024-01-03,2023-01-15,Books,334.27,4,Changed mind,Returned,-353.0,69,Male,City81,PayPal,Express,43.44,1,0.5322899309279487,1
ORD00000042,PROD00000042,USER00000042,2024-02-10,,Books,240.65,2,,Not Returned,,33,Female,City61,Gift Card,Standard,12.93,0,0.5033024891534504,1
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07,1,0.5484911261710571,1
ORD00000048,PROD00000048,USER00000048,2024-04-19,2023-11-16,Electronics,344.31,4,Not as described,Returned,-155.0,36,Male,City68,Credit Card,Express,10.99,1,0.5042894889063786,1
ORD00000049,PROD00000049,USER00000049,2024-03-14,,Clothing,297.62,4,,Not Returned,,52,Male,City53,Credit Card,Express,16.9,0,0.5091143535849085,1
ORD00000050,PROD00000050,USER00000050,2023-06-14,2024-07-21,Books,23.6,1,Defective,Returned,403.0,37,Female,City12,Credit Card,Next-Day,6.53,1,0.5009095688272326,1
ORD00000051,PROD00000051,USER00000051,2024-03-27,,Toys,495.34,3,,Not Returned,,46,Female,City50,Debit Card,Express,43.34,0,0.5112848586208556,1
ORD00000052,PROD00000052,USER00000052,2024-02-22,,Toys,49.47,2,,Not Returned,,53,Female,City46,Credit Card,Express,38.09,0,0.5192541808982507,1
ORD00000054,PROD00000054,USER00000054,2023-02-12,,Home,283.79,2,,Not Returned,,42,Male,City76,Debit Card,Next-Day,30.81,0,0.5100364088387731,1
ORD00000057,PROD00000057,USER00000057,2024-09-22,2023-09-10,Books,301.68,2,Changed mind,Returned,-378.0,47,Male,City16,PayPal,Standard,30.59,1,0.5004811962789957,1
ORD00000059,PROD00000059,USER00000059,2023-02-13,,Electronics,16.37,2,,Not Returned,,32,Male,City65,Credit Card,Next-Day,16.08,0,0.5169625740719802,1
ORD00000060,PROD00000060,USER00000060,2024-10-26,2024-02-24,Books,389.83,4,Wrong item,Returned,-245.0,40,Female,City44,Gift Card,Express,12.23,1,0.5014882428540869,1
ORD00000061,PROD00000061,USER00000061,2024-11-06,,Home,344.6,4,,Not Returned,,28,Female,City80,PayPal,Next-Day,40.95,0,0.528346900736178,1
ORD00000066,PROD00000066,USER00000066,2024-09-08,,Books,142.71,2,,Not Returned,,60,Female,City75,Debit Card,Next-Day,19.05,0,0.51158741019267,1
ORD00000070,PROD00000070,USER00000070,2024-05-24,2023-06-21,Toys,87.17,4,Defective,Returned,-338.0,46,Female,City50,Gift Card,Express,32.02,1,0.5099203605567737,1
ORD00000074,PROD00000074,USER00000074,2024-02-21,,Toys,84.9,5,,Not Returned,,67,Female,City43,Gift Card,Next-Day,46.26,0,0.5156789099382172,1
ORD00000075,PROD00000075,USER00000075,2023-05-08,2024-01-19,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,City53,Debit Card,Next-Day,24.31,1,0.5149027216138431,1
ORD00000077,PROD00000077,USER00000077,2023-04-09,2024-01-21,Books,185.34,2,Not as described,Returned,287.0,31,Female,City34,PayPal,Standard,36.01,1,0.5281655704820257,1
ORD00000078,PROD00000078,USER00000078,2023-05-07,2024-08-10,Toys,64.29,2,Not as described,Returned,461.0,39,Male,City57,Debit Card,Express,47.4,1,0.5363543831423819,1
ORD00000079,PROD00000079,USER00000079,2024-08-07,,Electronics,231.65,5,,Not Returned,,58,Male,City14,Debit Card,Standard,45.83,0,0.5240496400558846,1
ORD00000080,PROD00000080,USER00000080,2023-04-02,,Electronics,44.48,1,,Not Returned,,50,Male,City8,Debit Card,Express,27.66,0,0.5190860077446309,1
ORD00000081,PROD00000081,USER00000081,2024-03-21,2023-09-13,Clothing,429.47,5,Defective,Returned,-190.0,39,Male,City10,Gift Card,Standard,44.36,1,0.5263919778928425,1
ORD00000083,PROD00000083,USER00000083,2023-06-08,2024-10-23,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,City100,Debit Card,Standard,35.14,1,0.5259667372944931,1
ORD00000084,PROD00000084,USER00000084,2024-11-18,,Books,427.29,3,,Not Returned,,51,Male,City28,PayPal,Standard,46.46,0,0.5214949171394813,1
ORD00000085,PROD00000085,USER00000085,2023-04-13,,Home,283.68,3,,Not Returned,,49,Male,City95,Credit Card,Next-Day,38.31,0,0.5296452014967226,1
ORD00000086,PROD00000086,USER00000086,2024-03-06,,Home,255.78,2,,Not Returned,,63,Female,City52,Credit Card,Next-Day,34.49,0,0.5048459749123027,1
ORD00000088,PROD00000088,USER00000088,2023-12-12,2023-09-27,Electronics,78.94,2,Changed mind,Returned,-76.0,23,Female,City1,Credit Card,Express,49.94,1,0.5599871001128823,1
ORD00000094,PROD00000094,USER00000094,2024-04-03,,Clothing,296.56,1,,Not Returned,,39,Female,City97,Gift Card,Standard,32.02,0,0.5216583825827215,1
ORD00000098,PROD00000098,USER00000098,2024-02-21,,Clothing,434.25,5,,Not Returned,,18,Female,City83,Gift Card,Express,7.11,0,0.5104801743286995,1
ORD00000100,PROD00000100,USER00000100,2023-10-30,,Clothing,284.49,4,,Not Returned,,48,Female,City59,Credit Card,Next-Day,39.82,0,0.5437184029017396,1
ORD00000101,PROD00000101,USER00000101,2024-05-01,2024-08-20,Books,169.93,5,Wrong item,Returned,111.0,40,Male,City40,Credit Card,Next-Day,27.73,1,0.5418645284861671,1
ORD00000102,PROD00000102,USER00000102,2023-09-21,,Books,146.37,4,,Not Returned,,23,Female,City66,Debit Card,Express,42.55,0,0.5754930520328613,1
ORD00000103,PROD00000103,USER00000103,2024-09-08,,Electronics,444.43,4,,Not Returned,,48,Female,City27,Debit Card,Next-Day,28.53,0,0.5006653956681164,1
ORD00000108,PROD00000108,USER00000108,2024-10-17,,Books,466.62,3,,Not Returned,,24,Male,City83,Debit Card,Express,8.36,0,0.5125356755339449,1
ORD00000109,PROD00000109,USER00000109,2024-08-27,,Clothing,51.56,4,,Not Returned,,37,Male,City95,Credit Card,Express,44.74,0,0.5773438600667895,1
ORD00000111,PROD00000111,USER00000111,2024-08-03,2023-09-01,Home,315.11,5,Defective,Returned,-337.0,50,Female,City71,PayPal,Express,37.68,1,0.5161019676688041,1
ORD00000112,PROD00000112,USER00000112,2024-05-12,2023-04-06,Clothing,259.57,2,Not as described,Returned,-402.0,55,Female,City90,Credit Card,Next-Day,40.28,1,0.5415805258839776,1
ORD00000115,PROD00000115,USER00000115,2024-06-07,2023-06-01,Toys,197.66,4,Not as described,Returned,-372.0,59,Female,City9,Credit Card,Next-Day,42.31,1,0.528451804963298,1
ORD00000116,PROD00000116,USER00000116,2023-09-26,2024-07-15,Books,79.9,4,Defective,Returned,293.0,42,Female,City73,PayPal,Express,22.19,1,0.528437985961646,1
ORD00000117,PROD00000117,USER00000117,2024-02-04,2024-09-17,Electronics,265.23,4,Changed mind,Returned,226.0,57,Male,City89,Credit Card,Next-Day,49.85,1,0.5513464312291487,1
ORD00000118,PROD00000118,USER00000118,2023-12-04,2023-07-01,Books,91.84,2,Not as described,Returned,-156.0,56,Female,City7,Credit Card,Next-Day,31.58,1,0.5383904338696051,1
ORD00000119,PROD00000119,USER00000119,2023-04-13,,Clothing,468.62,2,,Not Returned,,31,Male,City27,Gift Card,Next-Day,46.77,0,0.5304433636882785,1
ORD00000120,PROD00000120,USER00000120,2024-08-08,2024-10-13,Books,245.44,5,Changed mind,Returned,66.0,29,Female,City34,PayPal,Standard,25.44,1,0.5218218307182381,1
ORD00000121,PROD00000121,USER00000121,2023-09-06,,Toys,116.2,2,,Not Returned,,37,Male,City69,Gift Card,Next-Day,48.36,0,0.5304550258251649,1
ORD00000123,PROD00000123,USER00000123,2024-07-04,2023-11-02,Electronics,490.8,2,Changed mind,Returned,-245.0,37,Female,City23,Credit Card,Express,43.37,1,0.5282551096816251,1
ORD00000124,PROD00000124,USER00000124,2023-03-09,,Books,310.14,2,,Not Returned,,54,Male,City65,PayPal,Express,22.6,0,0.5023659303528213,1
ORD00000128,PROD00000128,USER00000128,2023-12-01,,Clothing,170.05,2,,Not Returned,,23,Male,City56,Debit Card,Express,35.55,0,0.5472799820575687,1
ORD00000131,PROD00000131,USER00000131,2024-05-24,2023-10-10,Books,219.29,2,Changed mind,Returned,-227.0,56,Male,City6,Credit Card,Express,32.59,1,0.5346389250205652,1
ORD00000137,PROD00000137,USER00000137,2024-07-17,2024-01-13,Electronics,285.21,4,Not as described,Returned,-186.0,32,Male,City44,Debit Card,Next-Day,40.21,1,0.5366559180348932,1
ORD00000138,PROD00000138,USER00000138,2023-08-01,,Clothing,238.63,2,,Not Returned,,46,Female,City27,Credit Card,Express,20.89,0,0.5094580032687137,1
ORD00000139,PROD00000139,USER00000139,2024-04-09,2023-10-13,Books,16.55,4,Changed mind,Returned,-179.0,21,Female,City32,Credit Card,Express,22.61,1,0.5519656475393989,1
ORD00000140,PROD00000140,USER00000140,2024-10-09,2023-10-15,Home,161.94,5,Changed mind,Returned,-360.0,68,Female,City61,Gift Card,Standard,35.96,1,0.5052967260636935,1
ORD00000141,PROD00000141,USER00000141,2023-07-29,2024-05-13,Clothing,173.42,1,Wrong item,Returned,289.0,33,Female,City34,Gift Card,Express,26.04,1,0.5147494292441854,1
ORD00000144,PROD00000144,USER00000144,2024-08-03,2024-05-16,Toys,288.71,3,Defective,Returned,-79.0,60,Male,City57,Credit Card,Express,42.11,1,0.5153999951197566,1
ORD00000145,PROD00000145,USER00000145,2023-10-10,,Clothing,66.65,2,,Not Returned,,58,Female,City90,PayPal,Express,38.8,0,0.5325017451446595,1
ORD00000148,PROD00000148,USER00000148,2024-10-27,,Toys,404.5,1,,Not Returned,,31,Female,City77,Gift Card,Express,44.89,0,0.5202357268425725,1
ORD00000152,PROD00000152,USER00000152,2024-07-19,,Home,255.92,1,,Not Returned,,18,Female,City81,Debit Card,Standard,33.02,0,0.5246876965097567,1
ORD00000153,PROD00000153,USER00000153,2024-10-20,2023-02-06,Clothing,444.83,1,Defective,Returned,-622.0,20,Female,City2,PayPal,Express,26.84,1,0.5037440338412749,1
ORD00000154,PROD00000154,USER00000154,2024-08-07,,Electronics,27.23,3,,Not Returned,,42,Male,City56,Credit Card,Express,49.27,0,0.5623219113853866,1
ORD00000155,PROD00000155,USER00000155,2024-06-27,2023-01-29,Books,332.49,4,Changed mind,Returned,-515.0,66,Female,City43,Credit Card,Express,34.21,1,0.530189963831977,1
ORD00000157,PROD00000157,USER00000157,2024-06-26,,Books,31.93,5,,Not Returned,,40,Male,City94,Debit Card,Standard,5.75,0,0.5193007940712414,1
ORD00000158,PROD00000158,USER00000158,2023-07-08,,Books,24.41,5,,Not Returned,,69,Male,City4,Credit Card,Next-Day,22.26,0,0.5220768014972588,1
ORD00000159,PROD00000159,USER00000159,2023-09-15,2024-08-25,Clothing,217.79,4,Defective,Returned,345.0,40,Male,City62,PayPal,Express,34.27,1,0.5300692015703207,1
ORD00000160,PROD00000160,USER00000160,2023-11-04,2024-09-28,Clothing,434.66,2,Not as described,Returned,329.0,19,Female,City81,Debit Card,Standard,49.39,1,0.558297544191629,1
ORD00000162,PROD00000162,USER00000162,2024-07-06,2023-03-18,Toys,231.11,5,Changed mind,Returned,-476.0,40,Female,City6,Credit Card,Next-Day,21.38,1,0.5054303912844125,1
ORD00000165,PROD00000165,USER00000165,2023-10-01,2024-08-01,Books,396.48,5,Wrong item,Returned,305.0,69,Male,City36,Debit Card,Express,39.19,1,0.5278471809333463,1
ORD00000166,PROD00000166,USER00000166,2023-03-14,,Books,300.03,1,,Not Returned,,42,Male,City90,Credit Card,Next-Day,46.37,0,0.5595694439303003,1
ORD00000167,PROD00000167,USER00000167,2024-11-16,2023-11-30,Books,324.85,5,Defective,Returned,-352.0,51,Female,City66,Debit Card,Express,20.53,1,0.5231151445351697,1
ORD00000168,PROD00000168,USER00000168,2023-09-01,,Toys,443.71,3,,Not Returned,,19,Female,City96,Credit Card,Express,46.28,0,0.5499781706237743,1
ORD00000170,PROD00000170,USER00000170,2023-12-01,2024-05-09,Clothing,118.2,5,Changed mind,Returned,160.0,32,Male,City93,Gift Card,Standard,43.34,1,0.5608440235257665,1
ORD00000171,PROD00000171,USER00000171,2023-12-17,2024-07-02,Home,138.23,2,Wrong item,Returned,198.0,28,Female,City95,PayPal,Express,42.31,1,0.5389158738635896,1
ORD00000172,PROD00000172,USER00000172,2024-08-26,2024-11-14,Toys,47.05,3,Not as described,Returned,80.0,43,Female,City29,Gift Card,Express,45.62,1,0.5246395343379204,1
ORD00000173,PROD00000173,USER00000173,2023-06-05,2024-09-28,Toys,9.03,5,Not as described,Returned,481.0,39,Male,City35,Credit Card,Standard,37.1,1,0.527708709031288,1
ORD00000175,PROD00000175,USER00000175,2024-09-10,2024-01-24,Clothing,381.39,1,Changed mind,Returned,-230.0,24,Female,City75,Debit Card,Next-Day,45.86,1,0.5511479864716968,1
ORD00000178,PROD00000178,USER00000178,2023-04-05,,Books,130.9,2,,Not Returned,,59,Male,City71,Gift Card,Express,14.17,0,0.5016917101336795,1
ORD00000179,PROD00000179,USER00000179,2024-01-12,2023-01-04,Electronics,80.81,5,Not as described,Returned,-373.0,61,Male,City23,Gift Card,Standard,30.75,1,0.5034071060641638,1
ORD00000182,PROD00000182,USER00000182,2023-10-31,2024-09-25,Clothing,69.89,4,Wrong item,Returned,330.0,41,Male,City27,Credit Card,Express,32.4,1,0.5415883048185298,1
ORD00000183,PROD00000183,USER00000183,2023-03-31,2023-10-26,Toys,340.06,3,Not as described,Returned,209.0,56,Female,City92,Credit Card,Next-Day,27.27,1,0.5001050152353832,1
ORD00000186,PROD00000186,USER00000186,2024-05-31,2023-04-26,Clothing,360.81,3,Wrong item,Returned,-401.0,61,Male,City10,PayPal,Next-Day,49.0,1,0.5135409829563237,1
ORD00000188,PROD00000188,USER00000188,2023-07-26,2024-03-24,Clothing,356.89,2,Defective,Returned,242.0,36,Female,City33,Debit Card,Standard,32.57,1,0.5163517949492283,1
ORD00000189,PROD00000189,USER00000189,2024-10-08,,Clothing,406.41,1,,Not Returned,,36,Male,City66,Debit Card,Express,49.99,0,0.5489408881437102,1
ORD00000190,PROD00000190,USER00000190,2023-02-22,,Books,55.35,3,,Not Returned,,62,Female,City45,Debit Card,Express,30.11,0,0.5298676444582905,1
ORD00000192,PROD00000192,USER00000192,2024-09-23,,Clothing,178.98,4,,Not Returned,,27,Male,City43,Credit Card,Next-Day,21.41,0,0.5302160668211009,1
ORD00000193,PROD00000193,USER00000193,2024-04-06,,Home,482.75,3,,Not Returned,,32,Female,City40,Credit Card,Standard,42.34,0,0.5229553082252896,1
ORD00000194,PROD00000194,USER00000194,2024-01-08,2023-05-10,Clothing,136.22,2,Wrong item,Returned,-243.0,20,Female,City4,Credit Card,Express,25.96,1,0.5398468264572389,1
ORD00000195,PROD00000195,USER00000195,2023-07-14,,Home,182.01,4,,Not Returned,,24,Male,City14,PayPal,Next-Day,27.82,0,0.502768135261203,1
ORD00000196,PROD00000196,USER00000196,2024-04-10,2023-05-26,Electronics,6.5,5,Wrong item,Returned,-320.0,51,Male,City74,Credit Card,Express,23.83,1,0.5322753687186864,1
ORD00000197,PROD00000197,USER00000197,2023-01-28,,Electronics,124.46,4,,Not Returned,,63,Male,City69,Debit Card,Standard,49.97,0,0.540248744294477,1
ORD00000198,PROD00000198,USER00000198,2024-02-08,,Home,13.04,5,,Not Returned,,44,Female,City32,Credit Card,Next-Day,32.34,0,0.529162078203846,1
ORD00000200,PROD00000200,USER00000200,2024-06-24,,Clothing,82.57,5,,Not Returned,,62,Female,City75,Credit Card,Next-Day,44.8,0,0.5575400303114698,1
ORD00000201,PROD00000201,USER00000201,2023-06-05,,Electronics,47.64,1,,Not Returned,,19,Male,City93,Gift Card,Next-Day,33.04,0,0.5397772518030051,1
ORD00000203,PROD00000203,USER00000203,2024-04-14,,Clothing,325.87,4,,Not Returned,,60,Male,City26,Credit Card,Express,27.15,0,0.5115227452026664,1
ORD00000204,PROD00000204,USER00000204,2023-04-25,2024-06-19,Clothing,362.81,5,Not as described,Returned,421.0,37,Male,City12,Gift Card,Express,21.11,1,0.5046891453384511,1
ORD00000205,PROD00000205,USER00000205,2024-12-28,,Home,317.9,4,,Not Returned,,68,Male,City98,Credit Card,Next-Day,29.84,0,0.5083477156735128,1
ORD00000206,PROD00000206,USER00000206,2024-08-27,,Toys,419.62,1,,Not Returned,,19,Male,City93,PayPal,Standard,40.75,0,0.5111794472693529,1
ORD00000207,PROD00000207,USER00000207,2024-08-29,,Home,279.06,5,,Not Returned,,54,Male,City43,Debit Card,Express,42.67,0,0.5259326657050304,1
ORD00000209,PROD00000209,USER00000209,2024-07-20,2023-10-22,Electronics,358.69,5,Wrong item,Returned,-272.0,68,Female,City37,Gift Card,Standard,49.22,1,0.5180965508312115,1
ORD00000211,PROD00000211,USER00000211,2023-12-11,2023-02-11,Books,198.21,2,Not as described,Returned,-303.0,67,Female,City59,Debit Card,Next-Day,47.3,1,0.5416225972121533,1
ORD00000219,PROD00000219,USER00000219,2024-12-14,2024-03-28,Clothing,393.44,3,Not as described,Returned,-261.0,52,Male,City7,Gift Card,Standard,33.6,1,0.5113028631674271,1
ORD00000220,PROD00000220,USER00000220,2023-11-09,2023-11-22,Clothing,128.35,3,Not as described,Returned,13.0,37,Male,City64,Gift Card,Standard,15.47,1,0.5044519973643707,1
ORD00000222,PROD00000222,USER00000222,2024-01-22,,Home,179.56,2,,Not Returned,,28,Female,City48,Credit Card,Express,45.92,0,0.5483158876188132,1
ORD00000223,PROD00000223,USER00000223,2023-06-09,2024-05-29,Clothing,409.65,2,Not as described,Returned,355.0,64,Male,City23,Credit Card,Express,43.1,1,0.5210662007472007,1
ORD00000224,PROD00000224,USER00000224,2023-03-31,2023-04-13,Home,170.03,3,Defective,Returned,13.0,21,Male,City74,PayPal,Standard,23.19,1,0.5051978956726714,1
ORD00000225,PROD00000225,USER00000225,2023-11-06,,Books,367.8,5,,Not Returned,,61,Male,City78,Gift Card,Standard,21.98,0,0.5062946461458935,1
ORD00000226,PROD00000226,USER00000226,2023-07-14,,Books,143.01,4,,Not Returned,,50,Male,City7,PayPal,Standard,46.55,0,0.5467800559004619,1
ORD00000227,PROD00000227,USER00000227,2023-09-25,2024-02-09,Books,277.15,1,Wrong item,Returned,137.0,67,Male,City93,Credit Card,Next-Day,46.01,1,0.5453414365578111,1
ORD00000228,PROD00000228,USER00000228,2023-10-02,,Books,261.91,3,,Not Returned,,65,Male,City70,Credit Card,Standard,48.16,0,0.5483772482550352,1
ORD00000238,PROD00000238,USER00000238,2024-06-17,2024-08-22,Toys,378.25,5,Changed mind,Returned,66.0,27,Male,City73,Debit Card,Standard,23.41,1,0.5031563799096629,1
ORD00000241,PROD00000241,USER00000241,2023-03-11,2024-04-30,Clothing,151.4,1,Changed mind,Returned,416.0,24,Male,City14,Debit Card,Express,39.16,1,0.539888000253111,1
ORD00000244,PROD00000244,USER00000244,2024-08-13,2023-06-14,Toys,150.75,2,Changed mind,Returned,-426.0,24,Female,City29,Debit Card,Express,25.88,1,0.5059984384661412,1
ORD00000246,PROD00000246,USER00000246,2024-02-23,,Clothing,72.07,3,,Not Returned,,67,Female,City13,Debit Card,Next-Day,39.03,0,0.5206646734252324,1
ORD00000248,PROD00000248,USER00000248,2023-06-19,2024-09-05,Books,27.39,3,Changed mind,Returned,444.0,56,Female,City99,Debit Card,Express,42.79,1,0.5646693746848869,1
ORD00000250,PROD00000250,USER00000250,2023-02-06,2024-12-02,Toys,299.98,4,Changed mind,Returned,665.0,43,Female,City8,Credit Card,Next-Day,35.3,1,0.5217805464006925,1
ORD00000251,PROD00000251,USER00000251,2023-10-27,,Electronics,14.88,4,,Not Returned,,41,Male,City80,Credit Card,Standard,18.97,0,0.5223164389411582,1
ORD00000252,PROD00000252,USER00000252,2024-01-03,2024-04-26,Home,80.88,3,Not as described,Returned,114.0,35,Female,City46,PayPal,Next-Day,46.78,1,0.5322396713568228,1
ORD00000253,PROD00000253,USER00000253,2024-04-24,2023-08-24,Home,450.4,5,Changed mind,Returned,-244.0,42,Female,City25,Gift Card,Express,30.89,1,0.5007782109151814,1
ORD00000256,PROD00000256,USER00000256,2024-08-27,,Clothing,80.4,4,,Not Returned,,50,Female,City79,Gift Card,Express,9.56,0,0.5046357985894073,1
ORD00000257,PROD00000257,USER00000257,2023-05-03,,Toys,46.83,5,,Not Returned,,27,Male,City65,Debit Card,Standard,17.12,0,0.5061535793920324,1
ORD00000258,PROD00000258,USER00000258,2024-07-24,,Books,121.7,2,,Not Returned,,25,Male,City56,Credit Card,Express,30.07,0,0.5532899535384014,1
ORD00000261,PROD00000261,USER00000261,2024-10-21,2023-09-04,Clothing,409.57,2,Defective,Returned,-413.0,36,Male,City97,Debit Card,Standard,29.37,1,0.522799557379656,1
ORD00000262,PROD00000262,USER00000262,2023-05-13,2024-11-01,Clothing,48.49,2,Wrong item,Returned,538.0,27,Male,City77,Credit Card,Standard,48.7,1,0.5717079897200777,1
ORD00000263,PROD00000263,USER00000263,2023-03-25,2024-04-11,Books,365.3,4,Defective,Returned,383.0,70,Male,City60,Debit Card,Standard,25.2,1,0.5037679667959714,1
ORD00000264,PROD00000264,USER00000264,2023-05-22,,Books,223.1,5,,Not Returned,,25,Female,City78,Gift Card,Express,48.21,0,0.5795127923275671,1
ORD00000268,PROD00000268,USER00000268,2023-12-21,,Electronics,359.03,2,,Not Returned,,46,Male,City49,PayPal,Express,44.86,0,0.5183047888113809,1
ORD00000271,PROD00000271,USER00000271,2024-09-25,2024-03-26,Clothing,282.89,1,Defective,Returned,-183.0,21,Female,City85,Debit Card,Standard,47.82,1,0.5586198889941884,1
ORD00000276,PROD00000276,USER00000276,2024-09-27,,Home,394.61,4,,Not Returned,,18,Female,City95,Gift Card,Express,22.17,0,0.5178690443074868,1
ORD00000278,PROD00000278,USER00000278,2023-06-06,2024-05-09,Books,161.86,3,Defective,Returned,338.0,39,Male,City12,Credit Card,Next-Day,26.28,1,0.5277538284801097,1
ORD00000279,PROD00000279,USER00000279,2024-06-07,2023-07-08,Home,418.05,5,Defective,Returned,-335.0,33,Female,City9,Gift Card,Standard,48.85,1,0.5409380815838931,1
ORD00000280,PROD00000280,USER00000280,2023-05-03,,Books,124.04,2,,Not Returned,,58,Female,City26,PayPal,Next-Day,28.38,0,0.5047743737958544,1
ORD00000281,PROD00000281,USER00000281,2023-12-08,2023-07-11,Clothing,12.83,4,Defective,Returned,-150.0,40,Female,City69,Credit Card,Express,15.24,1,0.5306049679446292,1
ORD00000284,PROD00000284,USER00000284,2024-11-02,2023-06-01,Clothing,389.91,2,Wrong item,Returned,-520.0,44,Male,City24,PayPal,Express,35.5,1,0.506888998293744,1
ORD00000285,PROD00000285,USER00000285,2024-12-26,2023-09-01,Clothing,119.65,3,Wrong item,Returned,-482.0,40,Male,City62,Gift Card,Next-Day,19.25,1,0.5114336157059035,1
ORD00000287,PROD00000287,USER00000287,2024-05-27,,Toys,257.04,5,,Not Returned,,69,Male,City76,Credit Card,Express,42.48,0,0.5226921403460032,1
ORD00000288,PROD00000288,USER00000288,2023-02-09,2024-01-03,Books,338.15,5,Wrong item,Returned,328.0,29,Female,City99,PayPal,Next-Day,1.29,1,0.5013928746508244,1
